R-code URL,Information URL,Quick info
"http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.r","http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.htm",""
"http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.r","http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.htm",""
"http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd621.r","http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd621.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.r","http://www.itl.nist.gov/div898/handbook/mpc/section6/mpc611.htm",""
"http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.r","http://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3671.htm",""
"http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.r","http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc521.htm",""
"http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc511.r","http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc511.htm",""
"http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.r","http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.htm",""
"http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.r","http://www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.htm",""
"http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd621.r","http://www.itl.nist.gov/div898/handbook/pmd/section6/pmd621.htm",""
